Units,Food Category,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ml,Milk and milk products excluding cheese,2978,2987,2961,2855,2809,2765,2687,2612,2578,2522,2526,2414,2431,2383,2351,2305,2235,2197,2298,2252,2265,2245,2180,2173,2127,2086,2164,2033,2006,2041,1996,"2,027","2,022","1,984","1,957","2,003","1,897","1,904","1,901","1,847","1,849","1,827","1,807","1,818","1,786","1,840"
g,Cheese,105,107,107,108,105,109,110,110,108,113,109,111,118,116,117,115,113,116,113,109,106,108,110,108,103,103,109,112,112,113,110,116,116,119,111,116,118,118,114,118,111,112,115,124,125,123
g,Carcase Meat,393,413,396,416,416,436,453,408,396,378,348,357,357,338,334,329,301,304,269,266,250,235,231,231,233,226,235,229,230,225,229,226,238,235,211,212,211,204,196,182,195,187,192,175,182,168
g,Non-Carcase Meat,630,642,656,695,705,724,707,734,728,730,722,712,721,737,727,721,698,691,714,728,732,751,759,752,752,735,779,812,820,836,820,821,804,795,787,787,805,794,793,766,760,742,745,778,775,794
g,Fish,123,128,131,118,122,129,137,141,144,147,140,140,148,146,146,150,147,141,144,148,148,147,158,149,148,146,144,157,155,156,158,167,170,165,161,158,151,147,144,146,144,146,144,139,139,146
no.,Eggs,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
g,Sugar and preserves,535,470,497,495,481,471,455,451,422,407,381,352,343,320,300,280,263,261,242,233,224,212,222,202,187,169,167,147,146,135,134,129,126,125,127,125,126,126,124,123,109,106,107,107,99,93
g,Potatoes,1437,1378,1107,1256,1371,1372,1313,1358,1339,1309,1293,1340,1290,1279,1240,1217,1199,1164,1147,1137,1084,1077,1111,1042,1012,972,1002,912,873,864,822,842,810,781,776,761,742,746,724,682,671,675,675,634,669,620
g,Fruit ,1872,1868,1920,1914,1996,1999,2107,2097,2038,2083,2038,2032,2246,2206,2237,2244,2170,2229,2205,2189,2200,2219,2274,2325,2316,2297,2336,2250,2307,2269,2274,"2,448","2,454","2,421","2,317","2,246","2,240","2,240","2,193","2,216","2,176","2,195","2,209","2,267","2,230","2,245"
g,Vegetables,1141,1130,1159,1189,1247,1203,1249,1244,1213,1208,1187,1206,1305,1255,1263,1255,1208,1204,1205,1179,1161,1150,1185,1193,1161,1166,1147,1094,1101,1079,1106,"1,156","1,142","1,140","1,118","1,103","1,107","1,090","1,086","1,102","1,080","1,103","1,117","1,137","1,134","1,139"
g,Bread,1019,1029,1015,1000,982,958,949,953,946,938,935,947,942,935,926,899,859,811,816,819,820,818,819,810,805,779,782,770,757,728,695,701,692,677,659,656,634,621,615,607,555,543,542,532,527,521
g,Flour,162,156,178,191,177,171,169,177,156,147,129,121,123,116,108,97,95,85,84,86,65,60,72,56,57,58,69,55,61,52,55,60,54,54,63,58,58,71,73,57,52,61,63,55,75,48
g,Beverages,107,103,105,97,93,102,99,99,97,100,92,90,93,92,90,89,84,86,81,77,75,74,77,71,68,68,70,60,58,56,56,57,55,56,55,54,56,53,53,52,52,53,53,54,49,52
g,Other food and drink,291,267,280,271,282,293,298,305,312,327,327,334,344,355,366,403,399,423,465,446,462,498,504,538,524,529,584,649,670,699,697,710,764,721,675,705,706,726,776,778,787,815,829,855,884,"1,000"
